Assembly	scaffolds_SlidingWindow_10nt_q20
# contigs (>= 0 bp)	484
# contigs (>= 1000 bp)	167
# contigs (>= 5000 bp)	123
# contigs (>= 10000 bp)	103
# contigs (>= 25000 bp)	63
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	4426558
Total length (>= 1000 bp)	4336369
Total length (>= 5000 bp)	4219950
Total length (>= 10000 bp)	4067748
Total length (>= 25000 bp)	3411784
Total length (>= 50000 bp)	2157195
# contigs	183
Largest contig	141613
Total length	4348402
GC (%)	65.49
N50	49888
N90	14028
auN	54673.1
L50	29
L90	91
# N's per 100 kbp	20.93
