Assembly	scaffolds_QualityComplexityHybrid_Q25
# contigs (>= 0 bp)	259
# contigs (>= 1000 bp)	130
# contigs (>= 5000 bp)	97
# contigs (>= 10000 bp)	85
# contigs (>= 25000 bp)	53
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4348353
Total length (>= 1000 bp)	4296448
Total length (>= 5000 bp)	4217907
Total length (>= 10000 bp)	4135552
Total length (>= 25000 bp)	3586508
Total length (>= 50000 bp)	2813216
# contigs	148
Largest contig	206803
Total length	4309254
GC (%)	65.39
N50	64262
N90	17387
auN	81385.7
L50	20
L90	67
# N's per 100 kbp	7.43
