Assembly	scaffolds_QualityLengthHybrid_Q25_75
# contigs (>= 0 bp)	256
# contigs (>= 1000 bp)	133
# contigs (>= 5000 bp)	98
# contigs (>= 10000 bp)	86
# contigs (>= 25000 bp)	54
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	4348087
Total length (>= 1000 bp)	4297353
Total length (>= 5000 bp)	4213439
Total length (>= 10000 bp)	4131163
Total length (>= 25000 bp)	3582119
Total length (>= 50000 bp)	2782364
# contigs	151
Largest contig	206803
Total length	4310154
GC (%)	65.39
N50	64262
N90	17217
auN	79904.6
L50	20
L90	69
# N's per 100 kbp	7.42
