Assembly	scaffolds_LengthFilter_150
# contigs (>= 0 bp)	294
# contigs (>= 1000 bp)	127
# contigs (>= 5000 bp)	94
# contigs (>= 10000 bp)	82
# contigs (>= 25000 bp)	55
# contigs (>= 50000 bp)	32
Total length (>= 0 bp)	4371488
Total length (>= 1000 bp)	4301988
Total length (>= 5000 bp)	4217245
Total length (>= 10000 bp)	4134742
Total length (>= 25000 bp)	3671909
Total length (>= 50000 bp)	2857576
# contigs	155
Largest contig	205948
Total length	4322200
GC (%)	65.42
N50	64262
N90	17416
auN	82252.8
L50	20
L90	66
# N's per 100 kbp	6.94
